id,name,category,subcategory,brand,price,rating,review_count,color,image_url,description,tags,features,amazon_url,flipkart_url,myntra_url,price_range,popularity_score
28,Keychron K8 Pro Max,Electronics,Keyboards,Keychron,850.41,3.9,0,,/images/products/macbook_pro_14.png,Premium keyboards by Keychron. The Keychron K8 Pro Max features top-tier quality and performance. Perfect for electronics enthusiasts.,"mechanical,rgb,typing,keychron,productivity,wireless",High quality|Durable design|Premium materials|Authentic Keychron product,https://www.amazon.in/s?k=Keychron%20K8%20Pro%20Max,https://www.flipkart.com/search?q=Keychron%20K8%20Pro%20Max,,luxury,0.58
30,Razer BlackWidow V3 Ultra,Electronics,Keyboards,Razer,1158.45,4.4,0,,/images/products/macbook_pro_14.png,Premium keyboards by Razer. The Razer BlackWidow V3 Ultra features top-tier quality and performance. Perfect for electronics enthusiasts.,"typing,razer,rgb,wireless,productivity,mechanical",High quality|Durable design|Premium materials|Authentic Razer product,https://www.amazon.in/s?k=Razer%20BlackWidow%20V3%20Ultra,https://www.flipkart.com/search?q=Razer%20BlackWidow%20V3%20Ultra,,luxury,0.32
32,Ducky One 3 Mini,Electronics,Keyboards,Ducky,1229.89,3.9,0,,/images/products/macbook_pro_14.png,Premium keyboards by Ducky. The Ducky One 3 Mini features top-tier quality and performance. Perfect for electronics enthusiasts.,"mechanical,ducky,rgb,productivity,typing,wireless",High quality|Durable design|Premium materials|Authentic Ducky product,https://www.amazon.in/s?k=Ducky%20One%203%20Mini,https://www.flipkart.com/search?q=Ducky%20One%203%20Mini,,luxury,0.67
33,Keychron K8 Pro,Electronics,Keyboards,Keychron,724.72,4.5,0,,/images/products/macbook_pro_14.png,Premium keyboards by Keychron. The Keychron K8 Pro features top-tier quality and performance. Perfect for electronics enthusiasts.,"productivity,keychron,rgb,mechanical,typing,wireless",High quality|Durable design|Premium materials|Authentic Keychron product,https://www.amazon.in/s?k=Keychron%20K8%20Pro,https://www.flipkart.com/search?q=Keychron%20K8%20Pro,,premium,0.35
35,Razer BlackWidow V3,Electronics,Keyboards,Razer,1422.82,4.2,0,,/images/products/macbook_pro_14.png,Premium keyboards by Razer. The Razer BlackWidow V3 features top-tier quality and performance. Perfect for electronics enthusiasts.,"productivity,typing,mechanical,wireless,razer,rgb",High quality|Durable design|Premium materials|Authentic Razer product,https://www.amazon.in/s?k=Razer%20BlackWidow%20V3,https://www.flipkart.com/search?q=Razer%20BlackWidow%20V3,,luxury,0.3
37,Razer BlackWidow V3 Elite,Electronics,Keyboards,Razer,564.44,4.0,0,,/images/products/macbook_pro_14.png,Premium keyboards by Razer. The Razer BlackWidow V3 Elite features top-tier quality and performance. Perfect for electronics enthusiasts.,"productivity,typing,wireless,mechanical,razer,rgb",High quality|Durable design|Premium materials|Authentic Razer product,https://www.amazon.in/s?k=Razer%20BlackWidow%20V3%20Elite,https://www.flipkart.com/search?q=Razer%20BlackWidow%20V3%20Elite,,premium,0.63
38,Logitech MX Mechanical,Electronics,Keyboards,Logitech,1294.49,3.8,0,,/images/products/keyboard_v2.png,Premium keyboards by Logitech. The Logitech MX Mechanical features top-tier quality and performance. Perfect for electronics enthusiasts.,"wireless,mechanical,rgb,logitech,typing,productivity",High quality|Durable design|Premium materials|Authentic Logitech product,https://www.amazon.in/s?k=Logitech%20MX%20Mechanical,https://www.flipkart.com/search?q=Logitech%20MX%20Mechanical,,luxury,0.41
39,SteelSeries Aerox 3 Plus,Electronics,Mice,SteelSeries,1030.84,4.9,0,,/images/products/macbook_pro_14.png,Premium mice by SteelSeries. The SteelSeries Aerox 3 Plus features top-tier quality and performance. Perfect for electronics enthusiasts.,"wireless,optical,steelseries,productivity,ergonomic",High quality|Durable design|Premium materials|Authentic SteelSeries product,https://www.amazon.in/s?k=SteelSeries%20Aerox%203%20Plus,https://www.flipkart.com/search?q=SteelSeries%20Aerox%203%20Plus,,luxury,0.76
46,Razer DeathAdder V2,Electronics,Mice,Razer,712.99,3.9,0,,/images/products/razer_deathadder_v3_pro_black.jpg,Premium mice by Razer. The Razer DeathAdder V2 features top-tier quality and performance. Perfect for electronics enthusiasts.,"productivity,wireless,optical,razer,ergonomic",High quality|Durable design|Premium materials|Authentic Razer product,https://www.amazon.in/s?k=Razer%20DeathAdder%20V2,https://www.flipkart.com/search?q=Razer%20DeathAdder%20V2,,premium,0.66
47,Logitech G Pro X Superlight,Electronics,Mice,Logitech,202.17,4.7,0,,/images/products/macbook_pro_14.png,Premium mice by Logitech. The Logitech G Pro X Superlight features top-tier quality and performance. Perfect for electronics enthusiasts.,"ergonomic,optical,productivity,wireless,logitech",High quality|Durable design|Premium materials|Authentic Logitech product,https://www.amazon.in/s?k=Logitech%20G%20Pro%20X%20Superlight,https://www.flipkart.com/search?q=Logitech%20G%20Pro%20X%20Superlight,,premium,0.85
49,SteelSeries Aerox 3,Electronics,Mice,SteelSeries,821.95,4.5,0,,/images/products/macbook_pro_14.png,Premium mice by SteelSeries. The SteelSeries Aerox 3 features top-tier quality and performance. Perfect for electronics enthusiasts.,"productivity,wireless,optical,ergonomic,steelseries",High quality|Durable design|Premium materials|Authentic SteelSeries product,https://www.amazon.in/s?k=SteelSeries%20Aerox%203,https://www.flipkart.com/search?q=SteelSeries%20Aerox%203,,luxury,0.58
50,Logitech G Pro X Superlight Elite,Electronics,Mice,Logitech,994.35,3.8,0,,/images/products/macbook_pro_14.png,Premium mice by Logitech. The Logitech G Pro X Superlight Elite features top-tier quality and performance. Perfect for electronics enthusiasts.,"productivity,logitech,ergonomic,optical,wireless",High quality|Durable design|Premium materials|Authentic Logitech product,https://www.amazon.in/s?k=Logitech%20G%20Pro%20X%20Superlight%20Elite,https://www.flipkart.com/search?q=Logitech%20G%20Pro%20X%20Superlight%20Elite,,luxury,0.62
51,Corsair Dark Core RGB,Electronics,Mice,Corsair,1414.78,3.7,0,,/images/products/macbook_pro_14.png,Premium mice by Corsair. The Corsair Dark Core RGB features top-tier quality and performance. Perfect for electronics enthusiasts.,"ergonomic,productivity,wireless,optical,corsair",High quality|Durable design|Premium materials|Authentic Corsair product,https://www.amazon.in/s?k=Corsair%20Dark%20Core%20RGB,https://www.flipkart.com/search?q=Corsair%20Dark%20Core%20RGB,,luxury,0.51
52,SteelSeries Aerox 3 Elite,Electronics,Mice,SteelSeries,149.41,4.7,0,,/images/products/macbook_pro_14.png,Premium mice by SteelSeries. The SteelSeries Aerox 3 Elite features top-tier quality and performance. Perfect for electronics enthusiasts.,"productivity,steelseries,optical,ergonomic,wireless",High quality|Durable design|Premium materials|Authentic SteelSeries product,https://www.amazon.in/s?k=SteelSeries%20Aerox%203%20Elite,https://www.flipkart.com/search?q=SteelSeries%20Aerox%203%20Elite,,mid-range,0.18
53,Razer DeathAdder V2 Plus,Electronics,Mice,Razer,1189.23,4.6,0,,/images/products/mouse_v1.png,Premium mice by Razer. The Razer DeathAdder V2 Plus features top-tier quality and performance. Perfect for electronics enthusiasts.,"razer,ergonomic,productivity,wireless,optical",High quality|Durable design|Premium materials|Authentic Razer product,https://www.amazon.in/s?k=Razer%20DeathAdder%20V2%20Plus,https://www.flipkart.com/search?q=Razer%20DeathAdder%20V2%20Plus,,luxury,0.26
54,Logitech MX Master 3S,Electronics,Mice,Logitech,1357.66,4.8,0,,/images/products/mouse.png,Premium mice by Logitech. The Logitech MX Master 3S features top-tier quality and performance. Perfect for electronics enthusiasts.,"productivity,optical,wireless,ergonomic,logitech",High quality|Durable design|Premium materials|Authentic Logitech product,https://www.amazon.in/s?k=Logitech%20MX%20Master%203S,https://www.flipkart.com/search?q=Logitech%20MX%20Master%203S,,luxury,0.11
55,Corsair Dark Core RGB Max,Electronics,Mice,Corsair,522.15,3.5,0,,/images/products/macbook_pro_14.png,Premium mice by Corsair. The Corsair Dark Core RGB Max features top-tier quality and performance. Perfect for electronics enthusiasts.,"corsair,wireless,ergonomic,optical,productivity",High quality|Durable design|Premium materials|Authentic Corsair product,https://www.amazon.in/s?k=Corsair%20Dark%20Core%20RGB%20Max,https://www.flipkart.com/search?q=Corsair%20Dark%20Core%20RGB%20Max,,premium,0.92
56,Corsair Dark Core RGB Plus,Electronics,Mice,Corsair,1259.73,3.9,0,,/images/products/macbook_pro_14.png,Premium mice by Corsair. The Corsair Dark Core RGB Plus features top-tier quality and performance. Perfect for electronics enthusiasts.,"ergonomic,optical,wireless,corsair,productivity",High quality|Durable design|Premium materials|Authentic Corsair product,https://www.amazon.in/s?k=Corsair%20Dark%20Core%20RGB%20Plus,https://www.flipkart.com/search?q=Corsair%20Dark%20Core%20RGB%20Plus,,luxury,0.81
57,Dell UltraSharp U2723QE,Electronics,Monitors,Dell,134.47,3.6,0,,/images/products/vu_139_cm.jpg,Premium monitors by Dell. The Dell UltraSharp U2723QE features top-tier quality and performance. Perfect for electronics enthusiasts.,"ips,dell,display,usb-c,4k,monitor",High quality|Durable design|Premium materials|Authentic Dell product,https://www.amazon.in/s?k=Dell%20UltraSharp%20U2723QE,https://www.flipkart.com/search?q=Dell%20UltraSharp%20U2723QE,,mid-range,0.51
58,Dell UltraSharp U2723QE Plus,Electronics,Monitors,Dell,606.24,4.7,0,,/images/products/monitor_v1.png,Premium monitors by Dell. The Dell UltraSharp U2723QE Plus features top-tier quality and performance. Perfect for electronics enthusiasts.,"usb-c,display,monitor,4k,dell,ips",High quality|Durable design|Premium materials|Authentic Dell product,https://www.amazon.in/s?k=Dell%20UltraSharp%20U2723QE%20Plus,https://www.flipkart.com/search?q=Dell%20UltraSharp%20U2723QE%20Plus,,premium,0.86
66,Dell UltraSharp U2723QE Pro,Electronics,Monitors,Dell,51.83,4.1,0,,/images/products/acer_139_cm.jpg,Premium monitors by Dell. The Dell UltraSharp U2723QE Pro features top-tier quality and performance. Perfect for electronics enthusiasts.,"dell,display,ips,4k,monitor,usb-c",High quality|Durable design|Premium materials|Authentic Dell product,https://www.amazon.in/s?k=Dell%20UltraSharp%20U2723QE%20Pro,https://www.flipkart.com/search?q=Dell%20UltraSharp%20U2723QE%20Pro,,mid-range,0.26
71,Samsung Odyssey G7,Electronics,Monitors,Samsung,1434.38,3.8,0,,/images/products/acer_139_cm.jpg,Premium monitors by Samsung. The Samsung Odyssey G7 features top-tier quality and performance. Perfect for electronics enthusiasts.,"display,ips,monitor,samsung,4k,usb-c",High quality|Durable design|Premium materials|Authentic Samsung product,https://www.amazon.in/s?k=Samsung%20Odyssey%20G7,https://www.flipkart.com/search?q=Samsung%20Odyssey%20G7,,luxury,0.75
72,BenQ PD2700U,Electronics,Monitors,BenQ,759.95,4.1,0,,/images/products/macbook_pro_14.png,Premium monitors by BenQ. The BenQ PD2700U features top-tier quality and performance. Perfect for electronics enthusiasts.,"4k,monitor,usb-c,benq,display,ips",High quality|Durable design|Premium materials|Authentic BenQ product,https://www.amazon.in/s?k=BenQ%20PD2700U,https://www.flipkart.com/search?q=BenQ%20PD2700U,,premium,0.59
73,LG 27GN950-B,Electronics,Monitors,LG,100.17,3.6,0,,/images/products/macbook_pro_14.png,Premium monitors by LG. The LG 27GN950-B features top-tier quality and performance. Perfect for electronics enthusiasts.,"ips,4k,display,monitor,usb-c,lg",High quality|Durable design|Premium materials|Authentic LG product,https://www.amazon.in/s?k=LG%2027GN950-B,https://www.flipkart.com/search?q=LG%2027GN950-B,,mid-range,0.86
74,ASUS ProArt Display,Electronics,Monitors,ASUS,390.88,3.6,0,,/images/products/monitor_v2.png,Premium monitors by ASUS. The ASUS ProArt Display features top-tier quality and performance. Perfect for electronics enthusiasts.,"asus,4k,display,ips,usb-c,monitor",High quality|Durable design|Premium materials|Authentic ASUS product,https://www.amazon.in/s?k=ASUS%20ProArt%20Display,https://www.flipkart.com/search?q=ASUS%20ProArt%20Display,,premium,0.19
77,Apple 20W USB-C Ultra,Electronics,Chargers,Apple,740.86,3.7,0,,/images/products/wayona_usb_type_c_65w_fast_charging_2m_6ft.jpg,Premium chargers by Apple. The Apple 20W USB-C Ultra features top-tier quality and performance. Perfect for electronics enthusiasts.,"fast-charging,apple,gan,power,adapter,usb-c",High quality|Durable design|Premium materials|Authentic Apple product,https://www.amazon.in/s?k=Apple%2020W%20USB-C%20Ultra,https://www.flipkart.com/search?q=Apple%2020W%20USB-C%20Ultra,,premium,0.67
84,Spigen ArcStation Pro,Electronics,Chargers,Spigen,1172.67,3.5,0,,/images/products/macbook_pro_14.png,Premium chargers by Spigen. The Spigen ArcStation Pro features top-tier quality and performance. Perfect for electronics enthusiasts.,"adapter,spigen,usb-c,gan,fast-charging,power",High quality|Durable design|Premium materials|Authentic Spigen product,https://www.amazon.in/s?k=Spigen%20ArcStation%20Pro,https://www.flipkart.com/search?q=Spigen%20ArcStation%20Pro,,luxury,0.72
85,Samsung 45W PD Edition,Electronics,Chargers,Samsung,1195.74,4.1,0,,/images/products/macbook_pro_14.png,Premium chargers by Samsung. The Samsung 45W PD Edition features top-tier quality and performance. Perfect for electronics enthusiasts.,"samsung,gan,adapter,power,usb-c,fast-charging",High quality|Durable design|Premium materials|Authentic Samsung product,https://www.amazon.in/s?k=Samsung%2045W%20PD%20Edition,https://www.flipkart.com/search?q=Samsung%2045W%20PD%20Edition,,luxury,0.21
86,Samsung 45W PD Elite,Electronics,Chargers,Samsung,453.01,3.7,0,,/images/products/macbook_pro_14.png,Premium chargers by Samsung. The Samsung 45W PD Elite features top-tier quality and performance. Perfect for electronics enthusiasts.,"gan,samsung,fast-charging,power,adapter,usb-c",High quality|Durable design|Premium materials|Authentic Samsung product,https://www.amazon.in/s?k=Samsung%2045W%20PD%20Elite,https://www.flipkart.com/search?q=Samsung%2045W%20PD%20Elite,,premium,0.55
87,Belkin BoostCharge Pro Ultra,Electronics,Chargers,Belkin,1355.72,4.2,0,,/images/products/speaker_v2.png,Premium chargers by Belkin. The Belkin BoostCharge Pro Ultra features top-tier quality and performance. Perfect for electronics enthusiasts.,"fast-charging,adapter,gan,power,usb-c,belkin",High quality|Durable design|Premium materials|Authentic Belkin product,https://www.amazon.in/s?k=Belkin%20BoostCharge%20Pro%20Ultra,https://www.flipkart.com/search?q=Belkin%20BoostCharge%20Pro%20Ultra,,luxury,0.83
90,Anker Nano II 65W,Electronics,Chargers,Anker,1055.22,4.8,0,,/images/products/macbook_pro_14.png,Premium chargers by Anker. The Anker Nano II 65W features top-tier quality and performance. Perfect for electronics enthusiasts.,"power,anker,adapter,fast-charging,usb-c,gan",High quality|Durable design|Premium materials|Authentic Anker product,https://www.amazon.in/s?k=Anker%20Nano%20II%2065W,https://www.flipkart.com/search?q=Anker%20Nano%20II%2065W,,luxury,0.15
91,Belkin BoostCharge Pro,Electronics,Chargers,Belkin,246.48,4.0,0,,/images/products/speaker_v2.png,Premium chargers by Belkin. The Belkin BoostCharge Pro features top-tier quality and performance. Perfect for electronics enthusiasts.,"adapter,power,usb-c,belkin,gan,fast-charging",High quality|Durable design|Premium materials|Authentic Belkin product,https://www.amazon.in/s?k=Belkin%20BoostCharge%20Pro,https://www.flipkart.com/search?q=Belkin%20BoostCharge%20Pro,,premium,0.38
92,Samsung 45W PD,Electronics,Chargers,Samsung,445.88,4.8,0,,/images/products/macbook_pro_14.png,Premium chargers by Samsung. The Samsung 45W PD features top-tier quality and performance. Perfect for electronics enthusiasts.,"fast-charging,power,samsung,usb-c,gan,adapter",High quality|Durable design|Premium materials|Authentic Samsung product,https://www.amazon.in/s?k=Samsung%2045W%20PD,https://www.flipkart.com/search?q=Samsung%2045W%20PD,,premium,0.76
93,Sonos Roam Plus,Electronics,Speakers,Sonos,914.88,3.8,0,,/images/products/macbook_pro_14.png,Premium speakers by Sonos. The Sonos Roam Plus features top-tier quality and performance. Perfect for electronics enthusiasts.,"sonos,waterproof,portable,audio,bluetooth,speaker",High quality|Durable design|Premium materials|Authentic Sonos product,https://www.amazon.in/s?k=Sonos%20Roam%20Plus,https://www.flipkart.com/search?q=Sonos%20Roam%20Plus,,luxury,0.34
95,JBL Charge 5 Edition,Electronics,Speakers,JBL,943.56,4.8,0,,/images/products/speaker_v2.png,Premium speakers by JBL. The JBL Charge 5 Edition features top-tier quality and performance. Perfect for electronics enthusiasts.,"portable,bluetooth,audio,jbl,speaker,waterproof",High quality|Durable design|Premium materials|Authentic JBL product,https://www.amazon.in/s?k=JBL%20Charge%205%20Edition,https://www.flipkart.com/search?q=JBL%20Charge%205%20Edition,,luxury,0.36
98,Sonos Roam Edition,Electronics,Speakers,Sonos,828.05,4.7,0,,/images/products/macbook_pro_14.png,Premium speakers by Sonos. The Sonos Roam Edition features top-tier quality and performance. Perfect for electronics enthusiasts.,"speaker,portable,waterproof,sonos,bluetooth,audio",High quality|Durable design|Premium materials|Authentic Sonos product,https://www.amazon.in/s?k=Sonos%20Roam%20Edition,https://www.flipkart.com/search?q=Sonos%20Roam%20Edition,,luxury,0.32
99,JBL Charge 5 Elite,Electronics,Speakers,JBL,621.48,4.2,0,,/images/products/speaker_v2.png,Premium speakers by JBL. The JBL Charge 5 Elite features top-tier quality and performance. Perfect for electronics enthusiasts.,"speaker,audio,jbl,bluetooth,portable,waterproof",High quality|Durable design|Premium materials|Authentic JBL product,https://www.amazon.in/s?k=JBL%20Charge%205%20Elite,https://www.flipkart.com/search?q=JBL%20Charge%205%20Elite,,premium,0.76
103,Sony SRS-XB43 Elite,Electronics,Speakers,Sony,1061.9,3.8,0,,/images/products/macbook_pro_14.png,Premium speakers by Sony. The Sony SRS-XB43 Elite features top-tier quality and performance. Perfect for electronics enthusiasts.,"audio,sony,waterproof,portable,bluetooth,speaker",High quality|Durable design|Premium materials|Authentic Sony product,https://www.amazon.in/s?k=Sony%20SRS-XB43%20Elite,https://www.flipkart.com/search?q=Sony%20SRS-XB43%20Elite,,luxury,0.98
104,Ultimate Ears BOOM 3,Electronics,Speakers,Ultimate Ears,1357.71,3.6,0,,/images/products/macbook_pro_14.png,Premium speakers by Ultimate Ears. The Ultimate Ears BOOM 3 features top-tier quality and performance. Perfect for electronics enthusiasts.,"portable,bluetooth,audio,waterproof,ultimate ears,speaker",High quality|Durable design|Premium materials|Authentic Ultimate Ears product,https://www.amazon.in/s?k=Ultimate%20Ears%20BOOM%203,https://www.flipkart.com/search?q=Ultimate%20Ears%20BOOM%203,,luxury,0.68
106,Bose SoundLink Revolve+,Electronics,Speakers,Bose,1458.26,4.9,0,,/images/products/macbook_pro_14.png,Premium speakers by Bose. The Bose SoundLink Revolve+ features top-tier quality and performance. Perfect for electronics enthusiasts.,"waterproof,speaker,bluetooth,audio,portable,bose",High quality|Durable design|Premium materials|Authentic Bose product,https://www.amazon.in/s?k=Bose%20SoundLink%20Revolve%2B,https://www.flipkart.com/search?q=Bose%20SoundLink%20Revolve%2B,,luxury,0.77
107,Sony SRS-XB43 Pro,Electronics,Speakers,Sony,1134.53,3.6,0,,/images/products/macbook_pro_14.png,Premium speakers by Sony. The Sony SRS-XB43 Pro features top-tier quality and performance. Perfect for electronics enthusiasts.,"portable,sony,audio,speaker,bluetooth,waterproof",High quality|Durable design|Premium materials|Authentic Sony product,https://www.amazon.in/s?k=Sony%20SRS-XB43%20Pro,https://www.flipkart.com/search?q=Sony%20SRS-XB43%20Pro,,luxury,0.98
108,JBL Charge 5,Electronics,Speakers,JBL,116.72,4.4,0,,/images/products/apple_homepod_mini_cosmic_grey.jpg,Premium speakers by JBL. The JBL Charge 5 features top-tier quality and performance. Perfect for electronics enthusiasts.,"bluetooth,portable,audio,waterproof,speaker,jbl",High quality|Durable design|Premium materials|Authentic JBL product,https://www.amazon.in/s?k=JBL%20Charge%205,https://www.flipkart.com/search?q=JBL%20Charge%205,,mid-range,0.2
109,JBL Charge 5 Pro,Electronics,Speakers,JBL,716.75,4.9,0,,/images/products/amazon_echo_plus.jpg,Premium speakers by JBL. The JBL Charge 5 Pro features top-tier quality and performance. Perfect for electronics enthusiasts.,"jbl,bluetooth,waterproof,audio,portable,speaker",High quality|Durable design|Premium materials|Authentic JBL product,https://www.amazon.in/s?k=JBL%20Charge%205%20Pro,https://www.flipkart.com/search?q=JBL%20Charge%205%20Pro,,premium,0.99
110,Sonos Roam,Electronics,Speakers,Sonos,851.8,4.5,0,,/images/products/macbook_pro_14.png,Premium speakers by Sonos. The Sonos Roam features top-tier quality and performance. Perfect for electronics enthusiasts.,"sonos,portable,bluetooth,audio,speaker,waterproof",High quality|Durable design|Premium materials|Authentic Sonos product,https://www.amazon.in/s?k=Sonos%20Roam,https://www.flipkart.com/search?q=Sonos%20Roam,,luxury,0.9
111,Apple MacBook Air M2 Pro,Electronics,Laptops,Apple,981.3,3.5,0,,/images/products/asus_zenbook_pro_dual_screen_laptop.jpg,Premium laptops by Apple. The Apple MacBook Air M2 Pro features top-tier quality and performance. Perfect for electronics enthusiasts.,"computer,portable,apple,laptop,ultrabook,productivity",High quality|Durable design|Premium materials|Authentic Apple product,https://www.amazon.in/s?k=Apple%20MacBook%20Air%20M2%20Pro,https://www.flipkart.com/search?q=Apple%20MacBook%20Air%20M2%20Pro,,luxury,0.22
114,Apple MacBook Air M2,Electronics,Laptops,Apple,1331.47,4.4,0,,/images/products/macbook_pro_14.png,Premium laptops by Apple. The Apple MacBook Air M2 features top-tier quality and performance. Perfect for electronics enthusiasts.,"portable,computer,productivity,ultrabook,laptop,apple",High quality|Durable design|Premium materials|Authentic Apple product,https://www.amazon.in/s?k=Apple%20MacBook%20Air%20M2,https://www.flipkart.com/search?q=Apple%20MacBook%20Air%20M2,,luxury,0.45
